125	0.22	0.44	0.0	0	0	0	0
124	0.22	0.22	0.0	0	0	0	0
123	0.22	0.0	0.0	0	0	0	0
122	0.22	0.44	0.22	0	0	0	0
121	0.22	0.22	0.22	0	0	0	0
120	0.22	0.0	0.22	0	0	0	0
119	0.22	0.44	0.44	0	0	0	0
118	0.22	0.22	0.44	0	0	0	0
117	0.22	0.0	0.44	0	0	0	0
116	0.22	0.44	0.66	0	0	0	0
115	0.22	0.22	0.66	0	0	0	0
114	0.22	0.0	0.66	0	0	0	0
113	0.22	0.44	0.88	0	0	0	0
112	0.22	0.22	0.88	0	0	0	0
111	0.22	0.0	0.88	0	0	0	0
110	0.22	0.44	1.1	0	0	0	0
109	0.22	0.22	1.1	0	0	0	0
108	0.22	0.0	1.1	0	0	0	0
107	0.22	0.44	1.32	0	0	0	0
106	0.22	0.22	1.32	0	0	0	0
105	0.22	0.0	1.32	0	0	0	0
104	0.22	0.44	1.54	0	0	0	0
103	0.22	0.22	1.54	0	0	0	0
102	0.22	0.0	1.54	0	0	0	0
101	0.22	0.44	1.76	0	0	0	0
100	0.22	0.22	1.76	0	0	0	0
99	0.22	0.0	1.76	0	0	0	0
98	0.22	0.44	1.98	0	0	0	0
97	0.22	0.22	1.98	0	0	0	0
96	0.22	0.0	1.98	0	0	0	0
